Entity Type,License Number,Sidewalk Cafe Type,Lic Area Sq Ft,Entity Name,Camis Trade Name,Address Bldg,Address Street Name,Address Location,Address City,Address State,Address Zip Code,Camis Phone Number
SIDEWALK CAFE,1007220,Enclosed,272,"OLIVER KING ENTERPRISES, INC.",EMPIRE SZECHWAN VILLAGE,173,7 AVENUE SOUTH,,NEW YORK,NY,10014,2122436046
SIDEWALK CAFE,1008741,Unenclosed,402,ROCCO'S ITALIAN CAFETERIA,ROCCO'S ITALIAN CAFETERIA,6408,FORT HAMILTON PARKWAY,,BROOKLYN,NY,11219,7188332109
SIDEWALK CAFE,1008999,Unenclosed,155,"CLUB AMERICA, INC.",ASSAGGIO,473,COLUMBUS AVENUE,,NEW YORK,NY,10024,2124009401
SIDEWALK CAFE,1010561,Unenclosed,100,17 MILE CORPORATION,BLUE MOON MEXICAN CAFE,1444,1 AVENUE,,NEW YORK,NY,10021,2122889811
SIDEWALK CAFE,1010686,Unenclosed,129,LA RIPAILLE CORP,LA RIPAILLE RESTAURANT,605,HUDSON STREET,,NEW YORK,NY,10014,2122554406
SIDEWALK CAFE,1011960,Unenclosed,103,"PEE WEE & TYSON, LTD",CAFE GITANE,242,MOTT STREET,,NEW YORK,NY,10003,2129650918
SIDEWALK CAFE,1013198,Unenclosed,164,"GRACE'S MARKETPLACE, INC",GRACE'S TRATTORIA CAFE & GRILL,201,EAST   71 STREET,,NEW YORK,NY,10021,2128760200
SIDEWALK CAFE,1013335,Unenclosed,166,"L. SZECHUAN EAST, LTD",PIG HEAVEN RESTAURANT,1540,2 AVENUE,,NEW YORK,NY,10028,2127444333
SIDEWALK CAFE,1015214,Unenclosed,127,GYRO KING FOODS CORP.,,50,EAST FORDHAM ROAD,A/K/A 2450 WALTON AVENUE,BRONX,NY,10468,7184898050
SIDEWALK CAFE,1016775,Unenclosed,147,"BEK ENTERPRISES, INC",SAVANN RESTAURANT,414,AMSTERDAM AVENUE,,NEW YORK,NY,10024,2125800202
SIDEWALK CAFE,1020216,Unenclosed,179,HAVELI RESTAURANT INC.,,100,2 AVENUE,,NEW YORK,NY,10003,2129820533
SIDEWALK CAFE,1021206,Enclosed,510,2180 BROADWAY REST. INC,MANHATTAN DINER,2180,BROADWAY,,NEW YORK,NY,10024,2128777252
SIDEWALK CAFE,1022739,Enclosed,371,"TERMINUS RESTAURANT ASSOCIATES, LLC",ORSAY RESTAURANT,1057,LEXINGTON AVENUE,,NEW YORK,NY,10021,2125174296
SIDEWALK CAFE,1023023,Unenclosed,175,EGG WHITE INC,BLOCKHEADS,1563,SECOND AVENUE,,NEW YORK,NY,10028,2123560006
SIDEWALK CAFE,1023699,Unenclosed,99,P.E.C GROUP LTD.,PEPOLINO,281,WEST BROADWAY,,NEW YORK,NY,10013,2129669983
SIDEWALK CAFE,1024654,Unenclosed,228,"JAYA MALAYSIAN RESTAURANT, INC",JAYA MALAYSIAN RESTAURANT,90,BAXTER STREET,,NEW YORK,NY,10013,2122193331
SIDEWALK CAFE,1025180,Unenclosed,908,"GRILLO, LTD",HENRY'S,2745,BROADWAY,,NEW YORK,NY,10025,2128660600
SIDEWALK CAFE,1025224,Unenclosed,585,"SURTIC, INC",CITRUS,320,AMSTERDAM AVENUE,,NEW YORK,NY,10023,2125950500
SIDEWALK CAFE,1025932,Unenclosed,187,"KITCHEN TABLE, INC",FRANK RESTAURANT,88,2 AVENUE,,NEW YORK,NY,10003,2124200202
SIDEWALK CAFE,1026510,Enclosed,301,STROKOS GOURMET DELI INC,,1090,AMSTERDAM AVENUE,,NEW YORK,NY,10025,2126662121
SIDEWALK CAFE,1026947,Enclosed,294,COSITAS RICAS CORP.,,79-19,ROOSEVELT AVENUE,,JACKSON HEIGHTS,NY,11372,7184788136
SIDEWALK CAFE,1027124,Unenclosed,249,HARU THIRD AVENUE CORP.,,1329,3 AVENUE,,NEW YORK,NY,10075,2124522230
SIDEWALK CAFE,1027125,Unenclosed,291,HARU AMSTERDAM AVENUE CORP.,HARU,433,AMSTERDAM AVENUE,,NEW YORK,NY,10024,2125795655
SIDEWALK CAFE,1027305,Unenclosed,626,"COSI, INC.",,841,BROADWAY,,NEW YORK,NY,10003,2126148544
SIDEWALK CAFE,1027923,Unenclosed,337,"MARLOW, INC.",,85,BROADWAY,,BROOKLYN,NY,11211,7184863077
SIDEWALK CAFE,1027927,Unenclosed,175,GOOD ENOUGH TO EAT UPTOWN LTD,,483,AMSTERDAM AVENUE,,NEW YORK,NY,10024,2124960163
SIDEWALK CAFE,1028336,Unenclosed,365,"V & T RESTAURANT, INC",,1024,AMSTERDAM AVENUE,,NEW YORK,NY,10025,2126631708
SIDEWALK CAFE,1028755,Enclosed,645,1236 SECOND AVENUE REST. CORP.,SILVER STAR RESTAURANT,1236,2 AVENUE,,NEW YORK,NY,10065,2122494250
SIDEWALK CAFE,1028853,Unenclosed,159,"63RD STREET BAGEL CAFE, INC.",,1201,2 AVENUE,,NEW YORK,NY,10065,2127532614
SIDEWALK CAFE,1029004,Unenclosed,214,JADA RESTAURANT INC.,PETITE ABEILLE,134,WEST BROADWAY,,NEW YORK,NY,10013,2127271505
SIDEWALK CAFE,1030835,Unenclosed,130,GREENWICH VILLAGE BISTRO LTD,GREENWICH VILLAGE BISTRO,13,CARMINE STREET,,NEW YORK,NY,10014,2122069777
SIDEWALK CAFE,1030967,Unenclosed,137,BRASSERIE JULIEN CORP,,1422,3 AVENUE,,NEW YORK,NY,10028,2127446327
SIDEWALK CAFE,1034243,Unenclosed,95,STS RESTAURANT CORP.,,505,3 AVENUE,,NEW YORK,NY,10016,2126899022
SIDEWALK CAFE,1034252,Unenclosed,225,31 GREAT JONES RESTAURANT CORP.,FIVE POINTS,31,GREAT JONES STREET,,NEW YORK,NY,10012,2122535700
SIDEWALK CAFE,1034831,Unenclosed,501,177 CHRYSTIE INC,ESPERANTO,145,AVENUE C,,NEW YORK,NY,10009,2125056559
SIDEWALK CAFE,1035310,Unenclosed,185,TWELFTH STREET CORP,VILLAGE DEN RESTAURANT,225,WEST   12 STREET,,NEW YORK,NY,10011,2126910303
SIDEWALK CAFE,1035650,Unenclosed,440,BROADWAY & 166TH LLC,,3956,BROADWAY,,NEW YORK,NY,10032,2125683700
SIDEWALK CAFE,1035729,Unenclosed,153,"MESTRE, INC",LE ZIE 2000,172,SEVENTH AVENUE,,NEW YORK,NY,10011,2122068686
SIDEWALK CAFE,1035738,Unenclosed,168,MILL KOREAN RESTAURANT INC.,,2895,BROADWAY,,NEW YORK,NY,10025,2126667653
SIDEWALK CAFE,1036208,Unenclosed,212,283 SMITH STREET FOOD CORP,ZAYTOONS,283,SMITH STREET,,BROOKLYN,NY,11231,7188751880
SIDEWALK CAFE,1039389,Unenclosed,149,"SPOONBREAD, INC",MISS MAMIES,364,WEST  110 STREET,,NEW YORK,NY,10025,2128650700
SIDEWALK CAFE,1039396,Unenclosed,211,"AMSTERDAM AVENUE BROTHER JIMMY'S, LLC",BROTHER JIMMY'S WEST,428,AMSTERDAM AVENUE,,NEW YORK,NY,10024,2122443503
SIDEWALK CAFE,1057301,Unenclosed,154,NINO'S TRIBECA RESTAURANT LTD,OSSO BUCO,1662,3 AVENUE,,NEW YORK,NY,10128,2124265422
SIDEWALK CAFE,1063188,Enclosed,420,"PLAZA MEXICO, INC.",MAMA MEXICO,2672,BROADWAY,,NEW YORK,NY,10025,2128642323
SIDEWALK CAFE,1063397,Unenclosed,320,CHINA 1221 INC,,1221,2 AVENUE,,NEW YORK,NY,10065,2127520810
SIDEWALK CAFE,1066226,Enclosed,,L & L FOODS OF FIRST AVE LLC,MCDONALDS,104,FIRST AVENUE,,NEW YORK,NY,10009,2036563661
SIDEWALK CAFE,1066538,Enclosed,446,ACROPOL REST. CORP.,RITZ DINER,1133,1 AVENUE,,NEW YORK,NY,10065,2123194993
SIDEWALK CAFE,1067914,Unenclosed,345,"BENNY'S BURRITOS, INC",BENNY'S BURRITOS,111-113,GREENWICH AVENUE,,NEW YORK,NY,10014,2122133332
SIDEWALK CAFE,1067948,Enclosed,346,"FIRST AVENUE BROTHER JIMMY'S, LLC",,1485,2 AVENUE,,NEW YORK,NY,10075,2122880999
SIDEWALK CAFE,1068447,Unenclosed,252,RANCHO WEST CORPORATION,RANCHO,570,AMSTERDAM AVENUE,,NEW YORK,NY,10024,2123621514
SIDEWALK CAFE,1071297,Unenclosed,517,10TH AVENUE GROUP INC,44&X-HELLS KITCHEN,622,10 AVENUE,,NEW YORK,NY,10036,2129771170
SIDEWALK CAFE,1072082,Unenclosed,102,CLASSIC FOOD INC,,267,COLUMBUS AVENUE,,NEW YORK,NY,10023,2124962803
SIDEWALK CAFE,1072271,Unenclosed,136,HAPPY WALKING BOYS CORP,CHOW BAR AND GRILL,184,WEST   10 STREET,A/K/A 230 W 4 ST,NEW YORK,NY,10014,2126332212
SIDEWALK CAFE,1072286,Enclosed,497,OMONIA CAFE INC.,"OMONIA CAFE,",32-20,BROADWAY,,ASTORIA,NY,11106,7182746650
SIDEWALK CAFE,1072380,Unenclosed,410,198 8TH AVE REST. CORP,,198,8 AVENUE,,NEW YORK,NY,10011,2125131988
SIDEWALK CAFE,1072629,Unenclosed,110,LUNELLA RISTORANTE INC,LUNELLA,173,MULBERRY STREET,,NEW YORK,NY,10013,2129666639
SIDEWALK CAFE,1073015,Unenclosed,314,1274 AMSTERDAM TRATTORIA INC,,1274,AMSTERDAM AVENUE,,NEW YORK,NY,10027,9146326036
SIDEWALK CAFE,1073840,Unenclosed,178,ITALIAN MOTHER CORPORATION,,162,AVENUE A,,NEW YORK,NY,10009,2122286900
SIDEWALK CAFE,1074420,Enclosed,333,"MNY HOLDINGS ASSOCIATES, LLC",BAKER STREET,1152,1 AVENUE,,NEW YORK,NY,10065,9178422958
SIDEWALK CAFE,1075283,Unenclosed,144,"CAFE CON LECHE, INC.",CAFE CON LECHE,424,AMSTERDAM AVENUE,,NEW YORK,NY,10024,2125957000
SIDEWALK CAFE,1075404,Unenclosed,268,ST MARKS CAFE INC,,2,ST MARKS PLACE,,NEW YORK,NY,10003,2125336656
SIDEWALK CAFE,1075763,Enclosed,411,"BROADWAY & 166TH, LLC",DALLAS BBQ,3956,BROADWAY,,NEW YORK,NY,10032,2125683700
SIDEWALK CAFE,1076270,Enclosed,233,"LA COCINA ON THIRD AVENUE, INC.",,430,3 AVENUE,,NEW YORK,NY,10016,2125321887
SIDEWALK CAFE,1076706,Unenclosed,482,"EAE, CORP",SIDEWALK BAR & RESTAURANT,94,AVENUE A,,NEW YORK,NY,10009,2124737373
SIDEWALK CAFE,1076713,Unenclosed,333,I MALATESTA TRATTORIA INC,MALATESTA TRATTORIA,649,WASHINGTON STREET,,NYC,NY,10014,2127411207
SIDEWALK CAFE,1077945,Unenclosed,722,BANJARA DINING INC,,344,EAST SIXTH STREET,,NEW YORK,NY,10003,2124775956
SIDEWALK CAFE,1078735,Unenclosed,936,EMEL SOAN CORP,ATHENS CAFE,32-07,30 AVENUE,,QUEENS,NY,11102,7186262164
SIDEWALK CAFE,1079412,Unenclosed,195,C.A.P. RESTAURANT CORP.,,303,WEST   48 STREET,,NY,NY,10036,2125864853
SIDEWALK CAFE,1079876,Unenclosed,427,PANEANTICO BAKERY CAFE INC,,9124,3 AVENUE,,BROOKLYN,NY,11209,7186802347
SIDEWALK CAFE,1080119,Unenclosed,89,"172 BLEEKER ST. REST., INC",,190,SULLIVAN STREET,,NEW YORK,NY,10012,2125050657
SIDEWALK CAFE,1083827,Unenclosed,340,176 8TH AVENUE CORP.,NISOS RESTAURANT,176,8 AVENUE,,NEW YORK,NY,10011,6463368121
SIDEWALK CAFE,1085915,Enclosed,285,IXHEL CORPORATION,CAFE FRIDA,368,COLUMBUS AVENUE,,NEW YORK,NY,10024,2127122929
SIDEWALK CAFE,1087174,Unenclosed,269,953 ASSOCIATES LLC,,798,NINTH AVENUE,,NEW YORK,NY,10019,2127657080
SIDEWALK CAFE,1092103,Unenclosed,80,"RAJMAR HOLDINGS, INC.",HUDSON BAR AND BOOKS,636,HUDSON STREET,,NEW YORK,NY,10014,2123559888
SIDEWALK CAFE,1094184,Unenclosed,565,DANA'S LLC,,630,9 AVENUE,,NEW YORK,NY,10036,2123332323
SIDEWALK CAFE,1095291,Unenclosed,461,CINQUE FRATELLI INC,ACQUISTA TRATTORIA,178-01,UNION TURNPIKE,,FLUSHING,NY,11366,7189691411
SIDEWALK CAFE,1095967,Unenclosed,360,LIVING BREAD LLC,CILANTRO,1321,1 AVENUE,,NEW YORK,NY,10021,2127224242
SIDEWALK CAFE,1096363,Unenclosed,197,THIRD AVE. REST. INC.,JAKES' DILEMMA,430,AMSTERDAM AVENUE,,NEW YORK,NY,10024,2127379391
SIDEWALK CAFE,1097153,Unenclosed,162,RAGUBOY CORP.,,156,EAST    2 STREET,,NEW YORK,NY,10009,2124777600
SIDEWALK CAFE,1097155,Unenclosed,480,BAR GIACOSA CORP,,268,SIXTH AVENUE,,NEW YORK,NY,10014,2129822498
SIDEWALK CAFE,1097651,Unenclosed,157,THE ORIGINAL HOMESTEAD RESTAURANT INC,,59,9TH AVENUE,,NEW YORK,NY,10011,2122429040
SIDEWALK CAFE,1100598,Unenclosed,200,ZANZIBAR LLC,XIE XIE,645,9 AVENUE,,NEW YORK,NY,10036,2129579197
SIDEWALK CAFE,1101185,Unenclosed,384,"MOULINAS, LLC",,128,SMITH STREET,,BROOKLYN,NY,11201,7189230918
SIDEWALK CAFE,1101272,Unenclosed,126,659 REST. INC,,659,NINTH AVENUE,,NEW YORK,NY,10036,2122627755
SIDEWALK CAFE,1101999,Unenclosed,298,RDK RESTAURANT CORP.,BISTRO LES AMIS,180,SPRING STREET,,NEW YORK,NY,10012,2122268645
SIDEWALK CAFE,1102405,Unenclosed,328,S & P 66 INC,LIME LEAF,2799,BROADWAY,108 STREET,NEW YORK,NY,10025,9174328500
SIDEWALK CAFE,1102443,Unenclosed,162,"COSMIC CANTINA, INC.",COSMIC CANTINA,101,3 AVENUE,,NEW YORK,NY,10003,4159949459
SIDEWALK CAFE,1102989,Unenclosed,532,ZUMSCHNEIDER CORP,,107-109,AVENUE C,,NEW YORK,NY,10009,2125981098
SIDEWALK CAFE,1103058,Unenclosed,271,CALIENTE TEQUILA GRILL LLC,CALIENTE GRILL,282,BLEECKER STREET,A/K/A 59 7 AVE SO,NEW YORK,NY,10014,2126755265
SIDEWALK CAFE,1103083,Unenclosed,125,GROUBEN FOOD CORP.,,515,3 AVENUE,,NEW YORK,NY,10016,2125323300
SIDEWALK CAFE,1103409,Unenclosed,168,"VERB, INC.",,218,BEDFORD AVENUE,,BROOKLYN,NY,11211,7185990977
SIDEWALK CAFE,1103658,Unenclosed,200,CMR CORP,,249-251,COLUMBUS AVENUE,,NEW YORK,NY,10023,2125799929
SIDEWALK CAFE,1103683,Unenclosed,394,"KRILIC ENTERPRISES, INC.",,30-95,33 STREET,,QUEENS,NY,11102,7182672735
SIDEWALK CAFE,1103693,Unenclosed,235,"MANNAGGIA, INC.",,163,FIRST AVENUE,,NEW YORK,NY,10003,2123881190
SIDEWALK CAFE,1103699,Unenclosed,188,ARKADY INC.,,1484,SECOND AVENUE,,NEW YORK,NY,10075,2122495103
SIDEWALK CAFE,1103740,Unenclosed,161,513 THIRD REST. LTD,,513,3 AVENUE,,NEW YORK,NY,10016,2126890058
SIDEWALK CAFE,1103894,Enclosed,341,31ST STREET PIZZA PALACE INC,,29-29,DITMARS BOULEVARD,,ASTORIA,NY,11105,7187281060
SIDEWALK CAFE,1104424,Unenclosed,249,"160 BISTRO, INC.",,160,7 AVENUE,,NY,NY,10011,2123664100
SIDEWALK CAFE,1105401,Unenclosed,339,52 RESTAURANT GROUP CORP.,OPAL,251,EAST   52 STREET,,NEW YORK,NY,10022,2125934321
SIDEWALK CAFE,1106418,Unenclosed,243,60TH STREET RESTAURANT CORP.,PATSY'S,206,EAST 60 STREET,,NEW YORK,NY,10022,2126885916
SIDEWALK CAFE,1106426,Unenclosed,360,"HARU TOO, INC.",HARU SAKE BAR,1327,THIRD AVENUE,,NEW YORK,NY,10021,2125131988
SIDEWALK CAFE,1106438,Enclosed,309,N.N.M. REST. CORP.,BRASSERIE 360,200,EAST   60 STREET,,NEW YORK,NY,10022,2126888868
SIDEWALK CAFE,1109238,Unenclosed,154,IL BUCO CORP.,,47,BOND STREET,,NEW YORK,NY,10012,2125331932
SIDEWALK CAFE,1109467,Unenclosed,420,505-23 BAR INC,THE HALF KING,505-507,WEST   23 STREET,,NEW YORK,NY,10011,2124624300
SIDEWALK CAFE,1109932,Unenclosed,481,THE WESTSIDE OF BROADWAY REST GROUP INC.,,2737,BROADWAY,,NEW YORK,NY,10025,2126637010
SIDEWALK CAFE,1110042,Enclosed,280,C & C FIRST AVE CORP.,BAR COASTAL,1495,1 AVENUE,,NEW YORK,NY,10075,2122886635
SIDEWALK CAFE,1110366,Unenclosed,63,THE OTHEROOM INC.,,143,PERRY STREET,,NEW YORK,NY,10014,2126459758
SIDEWALK CAFE,1110383,Unenclosed,140,ANOTHEROOM INC.,,249,WEST BROADWAY,,NEW YORK,NY,10013,2122261418
SIDEWALK CAFE,1111757,Enclosed,280,EL CONDE REST. CORP.,EL CONDE RESTAURANT,4139,BROADWAY,,NEW YORK,NY,10033,2127813231
SIDEWALK CAFE,1113412,Enclosed,243,1111 AVE K INC.,,1111,AVENUE K,,BROOKLYN,NY,11230,7186773033
SIDEWALK CAFE,1116343,Unenclosed,237,REBA REALTY CORP.,,16,NORTH MOORE STREET,,NEW YORK,NY,10013,2129410142
SIDEWALK CAFE,1120325,Enclosed,210,YIANNI'S CAFE INC,,31-91,STEINWAY STREET,,ASTORIA,NY,11103,7187281133
SIDEWALK CAFE,1120483,Unenclosed,266,1 & 3 ON 5TH CORP,FABIANE'S CAFE & PASTRY,142,NORTH    5 STREET,,BROOKLYN,NY,11211,7182189632
SIDEWALK CAFE,1125981,Unenclosed,820,RENOLTA LLC,,201,WEST   79 STREET,,NEW YORK,NY,10024,9172082174
SIDEWALK CAFE,1127935,Unenclosed,270,156 SEVENTH AVE GROUP LLC,ELMO,156,SEVENTH AVENUE,,NEW YORK,NY,10011,2123378000
SIDEWALK CAFE,1132655,Unenclosed,101,AJ EASTSIDE INC,FETCH,1649,THIRD AVENUE,,NEW YORK,NY,10128,2124239302
SIDEWALK CAFE,1132659,Unenclosed,290,HOT BREAD OF 104TH ST INC,HOT & CRYSPY,2724,BROADWAY,,NEW YORK,NY,10025,2122740442
SIDEWALK CAFE,1133124,Unenclosed,193,1262 AMSTERDAM CAFE INC,,1262,AMSTERDAM AVENUE,,NEW YORK,NY,10027,2122882937
SIDEWALK CAFE,1133422,Unenclosed,210,BLUE SMOKE LLC,,116,EAST   27 STREET,,NEW YORK,NY,10016,2124477733
SIDEWALK CAFE,1133602,Unenclosed,862,Y.N.L.C. CAFE CORP.,,35-27,30 AVENUE,,QUEENS,NY,11103,7182786967
SIDEWALK CAFE,1133801,Unenclosed,295,PISTICCI RESTAURANT CORP,PISTICCI RESTAURANT,125,LASALLE STREET,,NEW YORK,NY,10027,2129323500
SIDEWALK CAFE,1133898,Unenclosed,323,FIDDLESTICKS LLC,,54-56,GREENWICH AVENUE,,NEW YORK,NY,10011,2124630516
SIDEWALK CAFE,1133916,Unenclosed,298,TEN ELEVEN HOLDINGS L.L.C.,PENCIL FACTORY,142,FRANKLIN STREET,,BROOKLYN,NY,11222,7186095858
SIDEWALK CAFE,1133929,Unenclosed,271,SKIPWELL CORP,BISTRO TEN EIGHTEEN,1018,AMSTERDAM AVENUE,,NEW YORK,NY,10025,2126627600
SIDEWALK CAFE,1134143,Unenclosed,160,"S.I.A.E.A.1,INC.",K H AMAZON CAFE,1123,QUENTIN ROAD,,BROOKLYN,NY,11229,7183828360
SIDEWALK CAFE,1135217,Unenclosed,129,BUONA NOTTE INC,BUONA NOTTE INC,120,MULBERRY STREET,,NEW YORK,NY,10013,2129651111
SIDEWALK CAFE,1135221,Unenclosed,58,LUPI LLC,,347,EAST   85 STREET,,NEW YORK,NY,10028,2125173118
SIDEWALK CAFE,1135398,Unenclosed,185,"COBRA CATERERS, INC",DUBLIN 6/TOPSY,575,HUDSON STREET,,NEW YORK,NY,10014,6466382900
SIDEWALK CAFE,1135504,Unenclosed,91,206 7TH AVE CORP,SALSA Y SALSA MEXICAN KITCHEN,206,7 AVENUE,,NEW YORK,NY,10011,6463423298
SIDEWALK CAFE,1135513,Unenclosed,105,REGIONAL THAI LTD,,208,7 AVENUE,,NEW YORK,NY,10011,2128079872
SIDEWALK CAFE,1135770,Unenclosed,36,MRG RESTAURANT CORP,,122,MULBERRY STREET,,NEW YORK,NY,10013,7185918112
SIDEWALK CAFE,1135863,Unenclosed,220,NARITA JAPANESE RESTAURANT INC.,,107-08,70 ROAD,,FOREST HILLS,NY,11375,7182632999
SIDEWALK CAFE,1136163,Unenclosed,85,LENOX ROOM CORP,,1278,THIRD AVENUE,,NEW YORK,NY,10021,2127720404
SIDEWALK CAFE,1136223,Unenclosed,170,A. VENIERO INC.,VENIERO'S PASTICCERIA & CAFE,342,EAST   11 STREET,,NEW YORK CITY,NY,10003,2126747070
SIDEWALK CAFE,1136669,Unenclosed,417,62 &  1ST LLC,MERCHANTS NY,1125,FIRST AVENUE,,NEW YORK,NY,10065,2128714000
SIDEWALK CAFE,1137714,Unenclosed,575,"FIORELLO'S ROMAN CAFE, INC.",,1,LINCOLN PLAZA,,NEW YORK,NY,10023,2125955330
SIDEWALK CAFE,1138270,Unenclosed,147,LE-SE AMSTERDAM 732 RESTAURANT INC.,DIVE BAR,732,AMSTERDAM AVENUE,,NEW YORK,NY,10025,2127494358
SIDEWALK CAFE,1138459,Unenclosed,688,MA. VI. DO. REST. INC.,MEDITERRANEO,1260,2 AVENUE,,NEW YORK,NY,10065,2127347407
SIDEWALK CAFE,1139326,Unenclosed,144,"44 AND 9TH RESTAURANT, INC.",,623,NINTH AVENUE,,NEW YORK,NY,10036,2122656777
SIDEWALK CAFE,1139335,Unenclosed,243,THE 8801 CORP,,8801,THIRD AVENUE,,BROOKLYN,NY,11209,7184925095
SIDEWALK CAFE,1139454,Unenclosed,360,TALIAS RESTAURANT GROUP LLC,,668,AMSTERDAM AVENUE,,NEW YORK,NY,10025,2125803770
SIDEWALK CAFE,1139506,Unenclosed,219,"DUNMORE NEW YORK, INC.",JAKE'S SALOON,875,TENTH AVENUE,,NEW YORK,NY,10019,2123333100
SIDEWALK CAFE,1139678,Unenclosed,355,"THE ORIGINAL VINCENT'S, ESTABLISHED 1904 INC.",,119,MOTT STREET,,NEW YORK,NY,10013,2122268133
SIDEWALK CAFE,1141303,Unenclosed,99,"MARBAR, L.L.C.",LA PALAPA ROCKOLA,359,6 AVENUE,,NEW YORK,NY,10014,2125131988
SIDEWALK CAFE,1141700,Enclosed,692,23RD & 9TH RESTAURANT CORP,,368,WEST   23 STREET,,NEW YORK,NY,10011,2126915400
SIDEWALK CAFE,1141909,Unenclosed,66,"YAMASAK RESTAURANT, CORP.",LE FIGARO CAFE,174,BLEEKER STREET,,NEW YORK,NY,10012,5166250674
SIDEWALK CAFE,1141963,Unenclosed,183,INOVATIVE RESTAURANTS LLC,INOTECA,133,LUDLOW STREET,98 RIVINGTON STREET,NEW YORK,NY,10002,2126140473
SIDEWALK CAFE,1142044,Unenclosed,498,KRILIC ENTERPRISE INC,,30-95,33 STREET,,QUEENS,NY,11102,7182672735
SIDEWALK CAFE,1142288,Unenclosed,228,OLD HEIDELBERG CORP.,,1648,SECOND AVENUE,,NEW YORK,NY,10028,2126282332
SIDEWALK CAFE,1142522,Unenclosed,489,MIDAN REST INC.,MORAN'S,146,10 AVENUE,,NEW YORK,NY,10011,2126273030
SIDEWALK CAFE,1142568,Unenclosed,361,SPARTAN SOUVLAKI CORP,SPARTAN SOUVLAKI,6818,8 AVENUE,,BROOKLYN,NY,11220,7187485838
SIDEWALK CAFE,1142739,Unenclosed,192,LGR FIRST CORP,SIMONE ESSPRESSO & LITTLE BAR,134,1 AVENUE,,NEW YORK,NY,10009,2129826665
SIDEWALK CAFE,1143227,Unenclosed,102,"JVC PIZZERIA, INC",,132A,MULBERRY STREET,,NEW YORK,NY,10013,2122268306
SIDEWALK CAFE,1143675,Unenclosed,271,BREAD IN TRIBECA LLC,,301,CHURCH STREET,,NEW YORK,NY,10013,2123348282
SIDEWALK CAFE,1145512,Unenclosed,405,COFFEE PLACE CORP.,SUNFLOWER CAFE,1223,QUENTIN ROAD,,BROOKLYN,NY,11229,7183361340
SIDEWALK CAFE,1145629,Unenclosed,264,"GRAND ENDEAVORS, INC",CLEM'S,264,GRAND STREET,,BROOKLYN,NY,11211,7183879617
SIDEWALK CAFE,1146560,Enclosed,112,ROMAGICA CORP.,CELESTE RESTAURANT,502,AMSTERDAM AVENUE,,NEW YORK,NY,10024,2125131988
SIDEWALK CAFE,1147364,Enclosed,,HILLVIEW SPECIALITY FOOD INC,107 WEST RESTAURANT,2787,BROADWAY,,NEW YORK,NY,10025,2128641555
SIDEWALK CAFE,1150943,Unenclosed,326,GROTTA AZZURRA INN INC.,,177,MULBERRY STREET,,NEW YORK,NY,10013,2129258775
SIDEWALK CAFE,1151949,Unenclosed,158,CALSHEA REST. CORP.,THE TRIPLE CROWN,330,7 AVENUE,,NEW YORK,NY,10001,2127361575
SIDEWALK CAFE,1157157,Unenclosed,320,"UNO OF ASTORIA, INC.",,37-11,35 AVENUE,,QUEENS,NY,11101,6172185336
SIDEWALK CAFE,1157473,Unenclosed,298,"BABU FOOD, INC.",,468,HUDSON STREET,,NEW YORK,NY,10014,2126279191
SIDEWALK CAFE,1157684,Unenclosed,812,UNION SQUARE CATERING FACILITY INC.,COFFEE SHOP,29,UNION SQUARE WEST,,NEW YORK,NY,10003,2122437969
SIDEWALK CAFE,1158198,Unenclosed,134,412 AMSTERDAM CORP.,,412,AMSTERDAM AVENUE,,NEW YORK,NY,10024,2127871660
SIDEWALK CAFE,1158751,Unenclosed,145,RED MULBERRY LTD,SAMBUCA'S,105,MULBERRY STREET,,NEW YORK,NY,10013,2124310408
SIDEWALK CAFE,1159248,Unenclosed,"1,300","675 HUDSON VAULT, LLC",,675,HUDSON STREET,,NEW YORK,NY,10014,2125131988
SIDEWALK CAFE,1159486,Unenclosed,64,"L'ATRE ENTERPRISES, INC",,314,BLEECKER STREET,,NEW YORK,NY,10014,2126759463
SIDEWALK CAFE,1159625,Unenclosed,87,ELI'S MANHATTAN WAREHOUSE INC.,,1411,THIRD AVENUE,,NEW YORK,NY,10028,2127722011
SIDEWALK CAFE,1160306,Enclosed,344,"PS CAFE,INC",MY FAVARITE BISTRO,53,WEST   72 STREET,,NEW YORK,NY,10023,2123622187
SIDEWALK CAFE,1160579,Unenclosed,189,MESTIZO INC,,89,GREENWICH AVENUE,,NEW YORK,NY,10014,2126918080
SIDEWALK CAFE,1160619,Unenclosed,182,OLYMPIAN SUMMIT INC.,,35-25,STEINWAY STREET,,LONG ISLND CITY,NY,11101,7184722124
SIDEWALK CAFE,1160623,Unenclosed,357,"WOGIE'S, INC.",,39,GREENWICH AVENUE,,NEW YORK,NY,10014,6463733421
SIDEWALK CAFE,1160931,Unenclosed,140,MNY CHELSEA LLC,MERCHANTS NY,112,SEVENTH AVENUE,,NEW YORK,NY,10011,2123667267
SIDEWALK CAFE,1161434,Unenclosed,170,CARMINE RESTAURANT INC.,,125,MULBERRY STREET,,NEW YORK,NY,10013,2122266060
SIDEWALK CAFE,1161546,Unenclosed,127,30 E 30 ZANA INC,,30,EAST   30 STREET,,NEW YORK,NY,10016,2124813717
